Date;Open;High;Low;Last Close;Chg.%;
"01/19/2011";"1276.20";"1276.80";"1269.80";"1271.70";"-0.36%";
"01/20/2011";"1266.30";"1266.30";"1252.80";"1254.70";"-1.34%";
"01/21/2011";"1254.20";"1271.40";"1253.30";"1268.20";"+1.08%";
"01/24/2011";"1268.50";"1270.00";"1255.60";"1255.90";"-0.97%";
"01/25/2011";"1257.50";"1262.70";"1234.60";"1234.60";"-1.70%";
"01/26/2011";"1238.50";"1244.60";"1236.60";"1244.60";"+0.81%";
"01/27/2011";"1242.50";"1247.90";"1234.40";"1247.90";"+0.27%";
"01/28/2011";"1245.90";"1247.90";"1226.90";"1226.90";"-1.68%";
"01/31/2011";"1225.50";"1240.50";"1212.00";"1236.90";"+0.82%";
"02/01/2011";"1243.10";"1249.60";"1240.50";"1246.90";"+0.81%";
"02/02/2011";"1254.50";"1259.40";"1245.80";"1246.10";"-0.06%";
"02/03/2011";"1248.20";"1248.60";"1233.30";"1233.40";"-1.02%";
"02/04/2011";"1238.30";"1254.70";"1238.10";"1254.70";"+1.73%";
"02/07/2011";"1252.20";"1259.20";"1249.10";"1249.10";"-0.45%";
"02/08/2011";"1257.60";"1257.80";"1240.40";"1244.70";"-0.35%";
"02/09/2011";"1248.50";"1251.00";"1243.40";"1251.00";"+0.51%";
"02/10/2011";"1248.40";"1248.50";"1234.70";"1235.90";"-1.21%";
"02/11/2011";"1240.70";"1240.80";"1232.90";"1238.20";"+0.19%";
"02/14/2011";"1241.00";"1251.30";"1240.90";"1251.30";"+1.06%";
"02/15/2011";"1251.10";"1251.10";"1243.00";"1247.40";"-0.31%";
"02/16/2011";"1247.50";"1253.20";"1243.00";"1250.10";"+0.22%";
"02/17/2011";"1257.20";"1257.90";"1230.90";"1230.90";"-1.54%";
"02/18/2011";"1245.10";"1245.10";"1234.60";"1237.20";"+0.51%";
"02/21/2011";"1239.10";"1249.70";"1237.80";"1242.70";"+0.44%";
"02/22/2011";"1237.60";"1241.80";"1226.10";"1241.40";"-0.10%";
"02/23/2011";"1233.00";"1246.50";"1232.70";"1241.70";"+0.02%";
"02/24/2011";"1237.20";"1243.10";"1234.70";"1238.00";"-0.30%";
"02/25/2011";"1239.10";"1244.40";"1234.50";"1241.20";"+0.26%";
